Mã NCC,Tên NCC,Quốc gia,Điều khoản TT (ngày),Số điện thoại,Email
NCC001,Apple Việt Nam,Việt Nam,60,0839641697,contact.ncc001@company.com
NCC002,Samsung Electronics Việt Nam,Việt Nam,15,0379693461,contact.ncc002@company.com
NCC003,Công ty TNHH Điện tử Xiaomi Việt Nam,Việt Nam,15,0917103103,contact.ncc003@company.com
NCC004,Dell Technologies Việt Nam,Việt Nam,45,0382840608,contact.ncc004@company.com
NCC005,Lenovo Việt Nam,Việt Nam,60,0967310499,contact.ncc005@company.com
NCC006,HP Việt Nam,Việt Nam,15,0863445657,contact.ncc006@company.com
NCC007,ASUS Việt Nam,Việt Nam,30,0944964342,contact.ncc007@company.com
NCC008,Sony Việt Nam,Nhật Bản,15,0375355791,contact.ncc008@company.com
NCC009,Logitech Việt Nam,Thụy Sĩ,60,0728237650,contact.ncc009@company.com
NCC010,Anker Innovations Việt Nam,Trung Quốc,45,0918068174,contact.ncc010@company.com
