MaNCC,TenNCC,QuocGia,NguoiLienHe,DienThoai,Email,DieuKhoanTT_Ngay
NCC01,Apple Vietnam,Mỹ,Mr./Ms. B,0471885671,contact1@supplier.com,45
NCC02,Samsung Electronics Vietnam,Hàn Quốc,Mr./Ms. C,0322641818,contact2@supplier.com,45
NCC03,Dell Technologies Vietnam,Mỹ,Mr./Ms. A,0412305713,contact3@supplier.com,45
NCC04,Lenovo (Vietnam),Hồng Kông,Mr./Ms. B,0859509096,contact4@supplier.com,30
NCC05,ASUS Vietnam,Đài Loan,Mr./Ms. A,0479518805,contact5@supplier.com,30
NCC06,HP Vietnam,Mỹ,Mr./Ms. D,0458417661,contact6@supplier.com,60
NCC07,Xiaomi Technology Vietnam,Trung Quốc,Mr./Ms. C,0819337779,contact7@supplier.com,60
NCC08,OPPO Vietnam,Trung Quốc,Mr./Ms. B,0320972447,contact8@supplier.com,45
NCC09,Sony Vietnam,Nhật Bản,Mr./Ms. B,0897865610,contact9@supplier.com,45
NCC10,Anker Innovations Vietnam,Trung Quốc,Mr./Ms. D,0275988182,contact10@supplier.com,15
